# ========== 原有常用 + 品牌 ==========
nihao 你好
wancan 晚餐
yexiao 夜宵
jianshen 健身
paobu 跑步
tiaosheng 跳绳
qiche 骑车
daqiu 打球
tiqiu 踢球
yumaoqiu 羽毛球
pingpangqiu 乒乓球
wangqiu 网球
lanqiu 篮球
zuqiu 足球
paiqiu 排球
gaoerfu 高尔夫
taiqiu 台球
jianfei 减肥
zengzhong 增重
bawang 盼望
jingti 警惕
fangbei 防备
tongkuai 痛快
shuangkuai 爽快
bieniu 别扭
nankan 难看
haokan 好看
haochi 好吃
nanchi 难吃
haohe 好喝
nanhe 难喝
haoting 好听
nanting 难听
xiangtian 香甜
suantian 酸甜
kula 苦辣
xianmei 鲜美
xinxian 新鲜
chenjiu 陈旧
zangluan 脏乱
hunluan 混乱
zhenshi 真实
xujia 虚假
zhengque 正确
cuowu 错误
mingque 明确
hanhu 含糊
xiangxi 详细
jianlve 简略
fuza 复杂
jiandan 简单
kunnan 困难
shunli 顺利
cuozhe 挫折
chenggong 成功
shibai 失败
yingli 盈利
kuisun 亏损
jingbu 进步
tuibu 退步
fada 发达
luohou 落后
wenming 文明
dongdang 动荡
heping 和平
zhanzheng 战争
gongping 公平
gongzheng 公正
sixin 私心
tanlan 贪婪
jiejian 节俭
langfei 浪费
zhenxi 珍惜
aixi 爱惜
baohu 保护
pohuai 破坏
huanjing 环境
ziyuan 资源
nengyuan 能源
jiaotong 交通
yunshu 运输
lianluo 联络
guanxi 关系
bangpai 帮派
tuanti 团体
zuzhi 组织
jigou 机构
qiye 企业
shehui 社会
guojia 国家
minzu 民族
wenhua 文化
lishi 历史
dili 地理
kexue 科学
jishu 技术
yishu 艺术
yinyue 音乐
tiyu 体育
yiliao 医疗
jingji 经济
zhengzhi 政治
falv 法律
jundui 军队
fayuan 法院
jianyu 监狱
youju 邮局
yinhang 银行
shichang 市场
dongwuyuan 动物园
zhiwuyuan 植物园
bowuguan 博物馆
tushuguan 图书馆
keting 客厅
woshi 卧室
chufang 厨房
weishengjian 卫生间
yangtai 阳台
shufang 书房
juchang 剧场
tiyuguan 体育馆
gongjiaozhan 公交站
ditiezhan 地铁站
jiayouzhan 加油站
lunchuan 轮船
malu 马路
gonglu 公路
gaosugonglu 高速公路
qiaoliang 桥梁
suidao 隧道
xinhaodeng 信号灯
banmaxian 斑马线
renxinghengdao 人行横道
guojietianqiao 过街天桥
dixiatongdao 地下通道
loufang 楼房
dianti 电梯
louti 楼梯
menkou 门口
chuanghu 窗户
qiangbi 墙壁
diban 地板
tianhuaban 天花板
fangding 房顶
chuzu 出租
gouwu 购物
maidongxi 卖东西
shangdian 商店
tanwei 摊位
jiage 价格
youhui 优惠
zhekou 折扣
jiangjia 降价
zhangjia 涨价
taojiahuanjia 讨价还价
fukuan 付款
xianjin 现金
shuaka 刷卡
zhifubao 支付宝
weixinzhifu 微信支付
tiaoma 条码
erweima 二维码
shouyinyuan 收银员
guke 顾客
fuwuyuan 服务员
laoban 老板
dianzhu 店主
tongshi 同事
banzhang 班长
xiaochang 校长
mubiao 目标
fangxiang 方向
luxian 路线
didian 地点
riqi 日期
yuefen 月份
nianfen 年份
congqian 从前
yihou 以后
yiqian 以前
muqian 目前
yanqian 眼前
yuanchu 远处
jinchu 近处
pangbian 旁边
fujin 附近
zhouwei 周围
kaojin 靠近
weirao 围绕
zhuanmen 专门
yiban 一般
putong 普通
ouer 偶尔
jingchang 经常
youshi 有时
conglai 从来
zanshi 暂时
like 立刻
mashang 马上
ganjin 赶紧
gankuai 赶快
xu8nsu 迅速
huanman 缓慢
zhengzai 正在
jijiang 即将
zuihou 最后
zuixian 最先
shouxian 首先
qici 其次
ranhou 然后
zuizhong 最终
jiqi 极其
shifen 十分
lve 略
xiangdui 相对
kending 肯定
queshi 确实
dique 的确
dangran 当然
biran 必然
yexu 也许
huoxu 或许
dagai 大概
yinggai 应该
yingdang 应当
xuyao 需要
bixu 必须
bubi 不必
yongbuzhao 用不着
buneng 不能
buxing 不行
buyong 不用
buyao 不要
bugan 不敢
buyuan 不愿
xiangyao 想要
yuanyi 愿意
mamu 麻木
zibei 自卑
qianxu 谦虚
xurong 虚荣
chengshi 诚实
jiaohua 狡猾
xionghen 凶狠
culu 粗鲁
jizao 急躁
xiaoqi 小气
jieyue 节约
qinku 勤苦
landuo 懒惰
reqing 热情
lengmo 冷漠
youai 友爱
diyi 敌意
yuanhen 怨恨
yuanliang 原谅
zhexie 这些
naxie 那些
zheli 这里
nali 那里
zheyang 这样
nayang 那样
zheme 这么
name 那么
shei 谁
nage 哪个
naxie 哪些
nali 哪里
jige 几个
duoshao 多少
duoda 多大
duojiu 多久
zenyang 怎样
ruhe 如何
ruguo 如果
yaoshi 要是
jiaru 假如
zhiyao 只要
zhiyou 只有
yinwei 因为
suoyi 所以
yushi 于是
danshi 但是
raner 然而
suiran 虽然
keshi 可是
buguo 不过
jinguan 尽管
zhemeduo 这么多
nameduo 那么多
zhemeshao 这么少
nameshao 那么少
zhemekuai 这么快
nameman 那么慢
aiqing 爱情
anwei 安慰
anzhuang 安装
bawo 把握
bagong 罢工
baifenbi 百分比
bangongshi 办公室
banfa 办法
baogui 宝贵
baomi 保密
baowei 保卫
baoxian 保险
baoming 报名
baoyuan 抱怨
beiju 悲剧
beijing 背景
beiwanglu 备忘录
bijing 毕竟
bimian 避免
bianyuan 边缘
bianbubian 便不便
bianli 便利
biantiao 便条
biaoti 标题
biaoda 表达
biaomian 表面
biaoxian 表现
bieren 别人
bingbu 并不
boli 玻璃
bubai 不败
bubian 不便
bucuo 不错
budan 不但
budebu 不得不
buding 不定
buduan 不断
bufen 不分
bufu 不符
bugong 不公
bujian 不见
bujie 不解
bujin 不仅
bujiu 不久
buke 不可
buli 不利
buliao 不了
bumei 不美
buping 不平
buqi 不起
buqiang 不强
buqing 不清
buran 不然
burong 不容
bushao 不少
busheng 不胜
bushi 不是
butong 不同
buwei 不畏
buwen 不稳
buxi 不惜
buxiang 不香
buxiang 不想
buxiao 不小
buxie 不懈
buxiu 不休
buxu 不续
buyi 不宜
buzai 不在
buzeng 不曾
buzhi 不知
buzhi 不只
buzhong 不重
buzu 不足
caineng 才能
caiwu 财物
caiqu 采取
caidan 菜单
canjia 参加
cankao 参考
canguan 参观
canyue 参阅
cangku 仓库
caozuo 操作
celiang 测量
ceshi 测试
cencha 参差
chakan 察看
chayue 查阅
chaju 差距
chanye 产业
changdi 场地
changsuo 场所
changshi 常识
chezhan 车站
chennian 陈年
chengji 成绩
chengli 成立
chengshou 承受
chengwei 成为
chengxian 呈现
chengxu 程序
chiku 吃苦
chili 吃力
chongfen 充分
chongman 充满
chongtu 冲突
chongfu 重复
chongjian 重建
chouma 筹码
chuban 出版
chuchang 出场
chuche 出车
chufa 出发
chuge 合格
chuguo 出国
chuju 剧出
chukou 出口
chulu 出路
chumian 出面
chuming 出名
chuqu 出去
chuse 出色
chushi 出事
chushou 出手
chushou 出售
chuxi 出席
chuli 处理
chujing 处境
chuyu 处于
chufa 处罚
chuansuo 穿梭
chuanbo 传播
chuantong 传统
chuangshang 创伤
chuangzao 创造
cibie 辞别
cizhi 辞职
cishi 此时
cishu 次数
cuxin 粗心
cujin 促进
cuoshi 措施
daan 答案
dafu 答复
daduan 打断
dagong 打工
daji 打击
dajiao 打搅
dakai 打开
dasuan 打算
dating 打听
dazhe 打着
dadan 大胆
dadao 达到
dadi 大地
daduo 大多
dajia 大家
daliang 大量
dalu 大陆
dapi 大批
daqi 大气
daqing 大晴
dashi 大时
dashi 大事
dashu 大数
daxing 大型
dayi 大意
dayue 大约
daibiao 代表
daijia 代价
daiti 代替
dandu 单独
danxin 担心
dangqian 当前
dangshi 当时
dangzhong 当中
dangan 档案
daozhi 导致
daoli 道理
dedao 得到
deli 得力
deyi 得以
dengdai 等待
dengji 登记
diceng 底层
dixia 底下
dier 第二
diji 地基
dimian 地面
diqu 地区
diwei 地位
diyi 第一
dizhi 地质
dianxing 典型
dianhua 电话
dianshi 电视
dianying 电影
dingzhu 叮嘱
dingdian 顶点
dingju 定居
dongfang 东方
dongxi 东西
dongwu 动物
dongzuo 动作
duli 独立
dusheng 独生
duguo 度过
duanqi 短期
duanding 断定
duanluo 段落
duidai 对待
duifang 对方
duifu 对付
duihua 对话
duimian 对面
duixiang 对象
duiyu 对于
duome 多么
duoshu 多数
edu 恶毒
erqie 而且
fabiao 发表
fachu 发出
fadian 发电
fadong 发动
fahui 发挥
fajia 发家
fajue 发觉
faming 发明
faqi 发起
faxian 发现
faxiang 发响
faxin 发信
fayan 发言
faner 反而
fanfu 反复
fangan 反感
fankui 反馈
fanying 反应
fancuo 犯错
fandui 饭对
fangfa 方法
fangshi 方式
fangai 妨碍
fangzhi 防止
fangqi 放弃
fangxin 放心
feihua 废话
feijiu 废旧
feiqi 废气
feiwu 废物
fenbu 分布
fencun 分存
fenduan 分段
fenkai 分开
fenli 分离
fenmie 分灭
fenpei 分配
fensan 分散
fenshu 分书
fenxi 分析
fenmu 坟墓
fendou 奋斗
fengge 风格
fengjing 风景
fengshou 丰收
fouding 否定
foujue 否决
fucong 服从
fuwu 服务
fuyuan 幅员
fubai 腐败
fudu 复读
fugai 覆盖
fuhe 复合
fuhuo 复活
fuyin 复印
fuze 负责
gaijin 改进
gaishan 改善
gaizao 改造
gaikuang 概况
gainian 概念
ganshe 干涉
ganyu 干预
ganqing 感情
ganshou 感受
ganxie 感谢
ganghao 刚好
gangtie 钢铁
gaochao 高潮
gaodeng 高等
gaodu 高度
gaoji 高级
gaosu 告诉
gaoyuan 高原
gaoci 告辞
gebie 个别
geti 个体
gexing 个性
geiyu 给予
genben 根本
genju 根据
gensui 跟随
genggai 更改
gengjia 更加
gongbu 公布
gongcheng 工程
gongfu 功夫
gonggao 公告
gonggong 公共
gongji 攻击
gongju 工具
gongkai 公开
gongmin 公民
gongran 公然
gongshe 公社
gongshi 公式
gongyong 公用
gongyou 公有
gongyuan 公元
gongzi 工资
gongji 共计
gongtong 共同
gouqie 苟且
gouqie 狗且
goucheng 构成
gousi 构思
gudong 鼓动
guwu 鼓舞
guding 固定
guyi 故意
guahao 挂号
guanbi 关闭
guanjian 关键
guanyu 关于
guanzhao 关照
guanli 管理
guanche 贯彻
guangbo 广播
guangda 广大
guangfan 广泛
guanggao 广告
guiding 规定
guifan 规范
guige 规格
guihua 规划
guilv 规律
guimo 规模
guize 规则
guixing 贵姓
guochan 国产
guoji 国际
guonei 国内
guocheng 过程
guodu 过度
guofen 过分
guolai 过来
guolu 过路
guoqi 过期
guoyu 过于
haiyou 还有
haijun 海军
haiyang 海洋
hanyi 含义
hanyu 汉语
haochu 好处
haode 好的
haoduo 好多
haogan 好感
haojiu 好久
haosi 好死
haowan 好玩
haoxiang 好像
haoxiao 好笑
haozhao 号召
hege 合格
heli 合理
heshi 合适
hetong 合同
heian 黑暗
heiban 黑板
henduo 很多
henkuai 很快
hongse 红色
houlai 后来
hulve 忽略
huran 忽然
huxiang 互相
huafei 花费
huayuan 花园
huali 华丽
huafen 划分
huashi 化石
huati 话题
huaichu 坏处
huanying 欢迎
huansuan 换算
huangluan 慌乱
huifu 恢复
huihua 会话
huiyi 会议
hunyin 婚姻
huoshao 火烧
huobi 货币
huode 获得
jiji 积极
jilei 积累
jiben 基本
jichu 基础
jihui 机会
jili 激励
jishi 及时
jiti 集体
jizhong 集中
jici 几次
jidu 几度
jihe 几何
jilv 几率
jiwei 几位
jidu 嫉妒
jinian 纪念
jiran 既然
jishi 即使
jishu 计数
jiyi 记忆
jiayi 加以
jiazhuang 假装
jiamao 假冒
jiashi 假使
jiaqi 假期
jiari 假日
jianjue 坚决
jianxian 艰险
jianbian 简便
jianli 简历
jianshao 减少
jianshe 建设
jianzhu 建筑
jianglai 将来
jiangjiu 讲究
jiaowang 交往
jiaoyi 交易
jiaose 角色
jiedai 接待
jiejin 接近
jieshou 接收
jieshou 接受
jiexian 接线
jieguo 结果
jielun 结论
jinjin 仅仅
jinpo 紧迫
jinbu 进步
jincheng 进程
jinkou 进口
jinlai 进来
jinqu 进去
jinru 进入
jingli 经历
jingfei 经费
jingxian 惊险
jingran 竟然
jiuguo 救国
juzhu 居住
jumian 局面
juban 举办
judong 举动
juxing 举行
juli 距离
juexin 决心
junren 军人
kaifa 开发
kaifang 开放
kaiqi 开启
kaizhan 开展
kanlai 看来
kaolv 考虑
kekao 可靠
kepa 可怕
kexi 可惜
kefu 克服
keqi 客气
keti 客体
kongjian 空间
kongqi 空气
kongpa 恐怕
kouqi 口气
kouwei 口味
kunan 苦难
kuandai 宽带
kuankuo 宽阔
laji 垃圾
laibuji 来不及
laideji 来得及
laiyuan 来源
lanse 蓝色
leisi 类似
lilun 理论
limao 礼貌
lihai 厉害
liliang 力量
liru 例如
lianxi 练习
liangge 两个
liangjian 两件
liangyang 两样
lingdao 领导
lingwai 另外
liudong 流动
liuyan 留言
longzhong 隆重
luntan 论坛
maili 卖力
maobing 毛病
meicuo 没错
meiyong 没用
meiguo 美国
meili 美丽
meitian 每天
milu 迷路
mimi 秘密
mianfei 免费
mianji 面积
mianlin 面临
mianqiang 勉强
miaoshu 描述
minbing 民兵
minjian 民间
mingci 名词
mingpai 名牌
mingpian 名片
mingsheng 名胜
mingyi 名义
mingzi 名字
mingyun 命运
mofan 模范
moxing 模型
mudi 目的
naifan 耐烦
naixin 耐心
nandu 难度
nanmian 难免
naodai 脑袋
neibu 内部
neirong 内容
nengli 能力
nide 你的
niandai 年代
nianji 年纪
nianjian 年间
nianqing 年轻
niansui 年岁
ningjing 宁静
nongye 农业
nvren 女人
paidui 排队
paiming 排名
paichu 派出
paichu 排除
pifu 皮肤
piqi 脾气
pinzhi 品质
pingchang 平常
pingdeng 平等
pingfan 平凡
pingjun 平均
qita 其他
qishi 其实
qiyi 奇异
qilai 起来
qifen 气氛
qihou 气候
qianbian 前边
qianhou 前后
qiantu 前途
qianwang 前往
qiangda 强大
qianglie 强烈
qiangzhuang 强壮
qieshi 切实
qinlao 勤劳
qingsong 轻松
qingkuang 情况
qinglv 情侣
qubie 区别
quyu 区域
quanli 权利
quanli 权力
queding 确定
reai 热爱
relie 热烈
rencai 人才
renlei 人类
renmin 人民
renwu 任务
renzhen 认真
riji 日记
ruanjian 软件
runhua 润滑
sabu 散步
sange 三个
santian 三天
secai 色彩
sharen 杀人
shanshui 山水
shangpin 商品
shangwu 商务
shangci 上次
shaonian 少年
shebei 设备
sheji 设计
sheyuan 社员
shenbian 身边
shenzhi 甚至
shengyi 生意
shengli 胜利
shishi 时事
shijie 世界
shiqing 事情
shouyi 受益
shuliang 数量
shumu 数目
shuiping 水平
sixiang 思想
sige 四个
suihou 随后
suiyi 随意
sunshi 损失
taren 他人
tayi 他意
tadu 态度
tansuo 探索
tigong 提供
timu 题目
tihui 体会
tili 体力
tianxia 天下
tiaojian 条件
tiaojie 调节
tongguo 通过
tongshi 同时
toufa 头发
tushu 图书
tuhua 图画
tuidong 推动
tuixiao 推销
waiguo 外国
wanquan 完全
wangji 忘记
weile 为了
wenxue 文学
wudao 舞蹈
wushu 武术
wutian 五天
wuge 五个
wuse 五色
xifang 西方
xitong 系统
xiage 下个
xiansheng 先生
xiangmu 项目
xiaohai 小孩
xiaojie 小姐
xiaoguo 效果
xietiao 协调
xinli 心里
xinxi 信息
xingwei 行为
xingming 姓名
yazhou 亚洲
yanjiu 研究
yangguang 阳光
yangzi 样子
yaoqiu 要求
yejian 夜间
yige 一个
yigong 一共
yikuai 一块
yiqie 一切
yiyang 一样
yizhi 一直
yiji 以及
yisi 意思
yiwai 意外
yingye 营业
yongchu 用处
youyu 由于
youde 有的
youli 有利
youming 有名
youqing 友情
youxian 有限
youxiao 有效
youyi 有意
youqi 尤其
yule 娱乐
yuyan 语言
yufa 语法
yudao 遇到
yuanlai 原来
yuanyin 原因
yueliang 月亮
zazhi 杂志
zaihu 在乎
zaiyi 在意
zengjia 增加
zhanshi 战士
zhangda 长大
zhenzheng 真正
zhengchang 正常
zhishi 知识
zhidao 直到
zhishi 只是
zhiliang 质量
zhongguo 中国
zhongjian 中间
zhuyao 主要
zhuyi 注意
ziji 自己
ziran 自然
zongshi 总是
zoulu 走路
zuijin 最近
zuiduo 最多
zuojia 作家
zuopin 作品
anjing 安静
anpai 安排
bachi 把持
bazhan 霸占
baike 百科
baixing 百姓
banjia 搬家
bangong 办公
banshi 办事
baokuo 包括
baozheng 保证
baocun 保存
baoguan 保管
baoliu 保留
baoxiu 保修
baofu 报复
baogao 报告
beishang 悲伤
beifang 北方
beijing 北京
beidong 被动
beigao 被告
benlai 本来
benling 本领
benneng 本能
benshen 本身
benshi 本事
benwen 本文
benyi 本意
benzhi 本质
bianjing 边境
biandong 变动
bianlun 辩论
bianren 辨认
biaozhi 标志
binke 宾客
bingqie 并且
bowu 博物
budang 不当
bude 不得
budui 不对
bufa 不法
bugu 不顾
buhe 不和
buhui 不会
buji 不及
bujia 不加
bujiang 不讲
bujiu 不救
buju 不具
bujue 不觉
buken 不肯
bukuai 不快
bulai 不来
buli 不力
bulun 不论
bumian 不免
bupian 不偏
buqie 不切
buqing 不请
buque 不缺
bushan 不善
bushe 不舍
bushi 不时
bushou 不守
bushu 不数
busi 不私
busuan 不算
butui 不退
buwai 不外
buwan 不完
buwei 不为
buwu 不武
buxia 不下
buxian 不闲
buxian 不显
buxiang 不相
buxiang 不像
buxiao 不消
buxin 不信
buxing 不幸
buxu 不需
buxuan 不宣
buxue 不学
buyan 不言
buyang 不扬
buyi 不一
buyou 不由
buyu 不予
buyu 不遇
buzao 不早
buze 不则
buzhan 不战
buzhang 不长
buzhe 不这
buzheng 不正
buzhi 不值
buzhi 不致
buzhou 不周
buzhu 不住
buzhun 不准
buzi 不自
buzong 不综
caifu 财富
caifang 采访
caiyong 采用
cangcu 仓促
caochang 操场
ceyan 测验
cenci 层次
chabie 差别
changchang 常常
chaoliu 潮流
cheliang 车辆
chenmen 沉闷
chengse 成色
chengxin 诚信
chouxiang 抽象
cixu 次序
cunfang 存放
daode 道德
dizhen 地震
dianli 典礼
diaocha 调查
songgei 送给
taidu 态度
wushu 无数
yewan 夜晚
zhandou 战斗
anshi 按时
bashou 把手
baituo 拜托
banlv 伴侣
baohan 包含
baojing 报警
bianjie 边界
bianbie 辨别
biaoshi 标识
biaoqing 表情
bofang 播放
buyaojin 不要紧
caiwu 财务
cehua 策划
chansheng 产生
changshi 尝试
chengren 承认
chongshua 冲刷
chushi 出示
chuanzhen 传真
congxiao 从小
cunkuan 存款
danwu 耽误
dangxuan 当选
daoqian 道歉
deyi 得意
dianhuo 点火
diaodong 调动
dingning 叮咛
dongji 动机
duzi 独自
duibi 对比
duichen 对称
fating 法庭
fanbo 反驳
fanwei 范围
feixing 飞行
fenliang 分量
fengkuang 疯狂
fushu 附属
ganshang 赶上
gangcai 刚才
gaodi 高低
gebi 隔壁
geren 个人
genzong 跟踪
gongchan 共产
goule 勾勒
guji 估计
guafeng 刮风
guangrong 光荣
guiju 规矩
guoji 国籍
henji 狠心
hengshu 横竖
honglong 轰隆
houguo 后果
huhuan 呼唤
huaduo 花朵
huaidan 坏蛋
huangzhang 慌张
huihuai 毁坏
hunli 婚礼
huoli 火力
jixie 机械
jizhuan 急转
jijie 季节
jianyan 检验
jiangluo 降落
jiaoliang 较量
jiecheng 竭诚
jiesan 解散
jinji 紧急
jiuji 救济
juanzeng 捐赠
junyun 均匀
kandeng 看待
kangfu 康复
kegui 可贵
ketang 课堂
kongxu 空虚
kouqiang 口枪
kuaisu 快速
kuangwu 矿物
kunhuo 困惑
kuoyin 扩音
lache 拉扯
laiwang 来往
lanyong 滥用
laodong 劳动
leizhui 累赘
lengre 冷热
likui 理亏
lianjia 廉价
lianghao 良好
lingmin 灵敏
liuli 流利
lunli 伦理
luoji 逻辑
maodun 矛盾
menglong 朦胧
minjie 敏捷
mingmei 明媚
moshui 墨水
muyang 模样
naonu 恼怒
neicun 内存
nengdong 能动
niwo 你我
nianlun 年轮
niaokan 鸟瞰
ningke 宁可
niuzhuan 扭转
nongli 努力
nushi 女士
paimai 拍卖
panxuan 盘旋
pangda 庞大
peiyang 培养
pengbo 蓬勃
pianxiang 偏向
piaofu 漂浮
pinfu 贫富
pingji 平级
pola 泼辣
pugai 铺盖
qihei 漆黑
qifen 气愤
qisu 起诉
qichuan 气喘
qianyi 迁移
qiangdiao 强调
qiaohe 巧合
qinlu:e 侵略
qingcao 情操
qiongkun 穷困
qufu 屈服
quanwei 权威
quefa 缺乏
ranshao 燃烧
raoluan 扰乱
rezhong 热衷
renci 仁慈
richeng 日程
rongqia 融洽
ruanruo 软弱
sanman 散漫
saorao 骚扰
shanzhang 擅长
shaowei 稍微
shexiang 设想
shenhou 深厚
shenmi 神秘
shengdong 生动
shengyu 剩余
shimian 失眠
shizhong 始终
shiyong 试用
shouhuo 收获
shouhu 守护
shuailuo 衰落
shuangfang 双方
shuizhun 水准
sisuo 思索
siwen 斯文
sousuo 搜索
sudu 速度
suihe 随和
sunshang 损伤
suoduan 缩短
taxiang 他乡
taikong 太空
tantao 探讨
tezheng 特征
tiliang 体谅
tianfu 天赋
tieqie 贴切
tingcong 听从
tongsu 通俗
tongbao 同胞
toukui 偷窥
tupo 突破
tujing 途径
tuice 推测
tuihua 退化
tunmo 吞没
tuoli 脱离
wajue 挖掘
waibiao 外表
wanpi 顽皮
wanjiu 挽救
weixie 威胁
weiqu 委屈
weibi 未必
wendu 温度
wenyi 文艺
woshou 握手
wuliao 无聊
wujie 误解
xishou 吸收
xiguan 习惯
xilie 系列
xiazhai 狭窄
xiada 下达
xianhou 先后
xianqi 嫌弃
xiande 显得
xianmu 羡慕
xiangchu 相处
xiangshou 享受
xiangwang 向往
xiaohao 消耗
xiaochu 消除
xiaolu 效率
xieshang 协商
xieqi 泄气
xingcheng 形成
xuduo 许多
xuanchuan 宣传
xuanju 选举
xuewen 学问
xueya 血压
xunzhao 寻找
yapo 压迫
yange 严格
yanchu 演出
yanfan 厌烦
yangyi 洋溢
yaoyuan 遥远
yaojin 要紧
yeman 野蛮
yewu 业务
yilai 依赖
yihan 遗憾
yilun 议论
yinsen 阴森
yinqi 引起
yingfu 应付
yonghu 拥护
yongqi 勇气
youxiu 优秀
youhao 友好
yuangu 缘故
yuedu 阅读
yunxu 允许
zainan 灾难
zanmei 赞美
zaogao 糟糕
zaoyin 噪音
zeren 责任
zenghen 憎恨
zhanxin 崭新
zhanlue 战略
zhaodai 招待
zhaoji 着急
zhexue 哲学
zhengqu 争取
zhengju 证据
zhide 值得
zhihui 指挥
zhidu 制度
zhongyu 终于
zhongzu 种族
zhujian 逐渐
zhuyi 主意
zhuangyan 庄严
zhuiqiu 追求
zhuoyue 卓越
zixi 仔细
zongjie 总结
zugou 足够
zuifan 罪犯
zunjing 尊敬
zuobiao 坐标
zuofeng 作风
bashe 跋涉
bainian 百年
baiban 摆布
banyan 扮演
bangyang 榜样
baobi 包庇
baoli 暴力
baolu 暴露
beiai 悲哀
beiguan 悲观
beili 背离
beimian 背面
beipan 背叛
benbo 奔波
benpao 奔跑
bici 彼此
bianqian 变迁
bianxie 编写
bianzhi 编制
biaoge 表格
biaoli 表里
biaoming 表明
biaotai 表态
binlin 濒临
binqi 摒弃
bingdu 病毒
bingfei 并非
buce 不测
budao 不到
budi 不敌
bufa 不乏
bufan 不凡
bujia 不佳
buju 不拘
bukui 不愧
bunai 不耐
buqia 不恰
buqiao 不巧
buru 不如
bushu 不熟
bushuai 不衰
busi 不死
busu 不俗
buwei 不违
buwu 不误
buze 不择
buzhi 不止
buzhong 不中
caichan 财产
caijing 财经
caizheng 财政
caigou 采购
caiji 采集
caina 采纳
canmou 参谋
canshu 参数
canzhan 参展
caolao 操劳
caoxin 操心
chana 刹那
chanchan 潺潺
chanchu 铲除
chanhui 忏悔
chanpin 产品
chanyi 颤意
changbian 唱遍
changdao 倡导
changhuan 偿还
changkuang 猖狂
changshang 厂商
changtu 长途
changyuan 长远
chaoe 超额
chaoyue 超越
chedi 彻底
chehuan 撤换
cheli 撤离
chetui 撤退
chexiao 撤销
chensi 沉思
chenzhong 沉重
chengban 承办
chengbao 承包
chengdan 承担
chengdu 程度
chengfa 惩罚
chengjiu 成就
chengnuo 承诺
chengxiao 成效
chengzan 称赞
chidun 迟钝
chijiu 持久
chimi 痴迷
chire 炽热
chixu 持续
chongci 冲刺
chongdong 冲动
chongji 冲击
chongpei 充沛
chongxin 重新
chongzu 充足
choubei 筹备
chouhen 仇恨
chouhua 筹划
choulou 丑陋
choumi 稠密
chubu 初步
chufan 触犯
chufei 除非
chuhai 出海
chuju 出具
chulei 出类
chumo 出没
chuna 出纳
chuqin 出勤
chuti 出题
chuxun 出巡
chuye 出页
chuzhan 出战
chuzhen 出诊
chuzhong 出众
chubei 储备
chucun 储存
chunu 处女
chuxu 储蓄
chuyi 处已
chuzhi 处置
chuanqi 传奇
chuanran 传染
chuansong 传送
chuangkou 窗口
chuangxin 创新
chuangye 创业
chuiwei 垂危
chunpu 淳朴
chunshu 纯属
cihou 此后
ciji 刺激
cike 此刻
ciwai 此外
cixiang 此项
ciya 次要
congci 从此
conger 从而
congrong 从容
congshi 从事
congshu 丛书
cucao 粗糙
cucu 促促
cushi 促使
cuzhi 粗制
cuangai 篡改
cuican 璀璨
cuiruo 脆弱
cunhuo 存货
cunliu 存留
dadou 大豆
dadu 大都
dadui 大队
dajiang 大将
dajie 大姐
dali 大力
dalue 大略
dami 大米
daneng 大能
daren 大人
dashu 大叔
datong 大同
daxue 大学
dazao 打造
daitou 带头
daiyu 待遇
danbao 担保
danchun 单纯
danshui 淡水
dangchu 当初
dangdi 当地
dangji 当即
dangjia 当家
dangjin 当今
dangju 当局
dangmian 当面
dangnian 当年
dangwu 当午
dangyang 当央
dangzhu 挡住
daochu 到处
daoda 到达
daodi 到底
daolu 道路
defen 得分
deyu 德语
dengyu 等于
digu 嘀咕
diji 低级
dishi 地势
dixia 低下
diyu 地域
dizhi 地址
dianfen 淀粉
dianfan 典范
dianji 点击
dianya 典雅
diaodu 调度
diaoke 雕刻
diaoluo 掉落
diaoyong 调用
dingdong 叮咚
dingfei 订费
dinggou 订购
dingli 订立
dingqi 定期
dingxing 定型
diuqi 丢弃
dongji 冬季
dongjing 动静
dongli 动力
dongmai 动脉
dongtai 动态
dongxiang 动向
dongyuan 动员
douliu 逗留
douzheng 斗争
ducai 独裁
dute 独特
duilian 对联
duncu 敦促
duncuo 顿挫
duoci 多次
duoji 多级
ehua 恶化
elie 恶劣
exin 恶心
fabu 发布
fapei 发配
fapiao 发票
faqiang 发枪
fashe 发射
fasong 发送
fawei 发威
faxie 发泄
faxing 发行
fayang 发扬
fayin 发音
fanchang 反常
fangu 反顾
fanji 反击
fanlong 反笼
fanmian 反面
fanshe 反射
fansi 反思
fanxiang 反响
fanying 反映
fanzheng 反正
fanzhi 反之
fanmang 繁忙
fannao 烦恼
fanrong 繁荣
fansuo 繁琐
fanwen 范文
fangcheng 方程
fangge 方格
fangmian 方面
fangwei 方位
fangyan 方言
fangzhen 方针
fanghuo 防火
fangkong 防空
fangshou 防守
fangwei 防卫
fangwen 访问
fangxian 防线
fangyu 防御
fangzhi 防治
feijie 费解
feili 费力
feishi 费时
feixin 费心
feiyong 费用
fencun 分寸
fengong 分工
fenjie 分解
fenlei 分类
fenshu 分数
fenyun 纷纭
fenzhan 奋战
fenzheng 纷争
fengcun 风存
fenghua 风化
fengli 锋利
fengqi 风气
fengqu 风趣
fengsu 风俗
fengxian 风险
fengyun 风云
fouren 否认
fuhua 浮华
fuli 福利
fushi 服饰
fuyuan 复原
fuzhi 复制
fuzhu 辅助
gailiang 改良
ganbu 干部
ganxing 感性
gangbi 钢笔
ganglie 刚烈
gangwei 岗位
